feature_set,model,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std
fourier,knn,0.4859,0.0045,0.5488,0.0038
fourier,svm,0.6319,0.0019,0.6779,0.0047
fourier,xgb,0.5850,0.0061,0.6500,0.0092
full_mapping,knn,0.3336,0.0084,0.3945,0.0070
full_mapping,svm,0.5505,0.0029,0.5998,0.0037
full_mapping,xgb,0.5151,0.0075,0.5711,0.0076
hog,knn,0.6183,0.0057,0.6702,0.0053
hog,svm,0.7821,0.0062,0.8121,0.0047
hog,xgb,0.7120,0.0074,0.7641,0.0040
hog_lbp,knn,0.6221,0.0066,0.6742,0.0062
hog_lbp,svm,0.7933,0.0047,0.8228,0.0044
hog_lbp,xgb,0.7612,0.0097,0.8023,0.0064
lbp,knn,0.4822,0.0069,0.5547,0.0078
lbp,svm,0.5707,0.0082,0.6310,0.0068
lbp,xgb,0.5258,0.0049,0.5878,0.0051
